song_id,title,primary_artist,artists,artists_list,artist_count,text_damaged,n_sources,release_date,release_year,explicit,primary_genre,artist_country,bpm,danceability,energy,valence,acousticness,artist2025_name,artist2025_rank,artist2025_monthly_listeners_millions_mar2026,artist2025_followers_millions,artist2025_grammy_wins,artist2025_debut_year,artist2025_primary_genre,artist2025_country,artist2025_gender,artist2025_top_song,sp2023_title,sp2023_artists,sp2023_artist_count,sp2023_release_date,sp2023_release_year,sp2023_spotify_playlists,sp2023_spotify_charts,sp2023_streams,sp2023_apple_playlists,sp2023_apple_charts,sp2023_deezer_playlists,sp2023_deezer_charts,sp2023_shazam_charts,sp2023_bpm,sp2023_key,sp2023_mode,sp2023_danceability,sp2023_valence,sp2023_energy,sp2023_acousticness,sp2023_instrumentalness,sp2023_liveness,sp2023_speechiness,sp2024_title,sp2024_artists,sp2024_artist_count,sp2024_album_name,sp2024_isrc,sp2024_release_date,sp2024_release_year,sp2024_all_time_rank,sp2024_track_score,sp2024_spotify_streams,sp2024_spotify_playlist_count,sp2024_spotify_playlist_reach,sp2024_spotify_popularity,sp2024_youtube_views,sp2024_youtube_likes,sp2024_tiktok_posts,sp2024_tiktok_likes,sp2024_tiktok_views,sp2024_youtube_playlist_reach,sp2024_apple_music_playlist_count,sp2024_airplay_spins,sp2024_siriusxm_spins,sp2024_deezer_playlist_count,sp2024_deezer_playlist_reach,sp2024_amazon_playlist_count,sp2024_pandora_streams,sp2024_pandora_track_stations,sp2024_soundcloud_streams,sp2024_shazam_counts,sp2024_explicit,alltime_title,alltime_artists,alltime_artist_count,alltime_rank,alltime_total_streams,alltime_primary_genre,alltime_artist_country,alltime_bpm,alltime_release_year,alltime_explicit,alltime_danceability,alltime_energy,alltime_valence,alltime_acousticness,wrapped2025_title,wrapped2025_artists,wrapped2025_artist_count,wrapped2025_rank,wrapped2025_streams,wrapped2025_primary_genre,wrapped2025_artist_country,wrapped2025_bpm,wrapped2025_duration_seconds,wrapped2025_release_year,wrapped2025_peak_global_chart_position,wrapped2025_explicit,wrapped2025_danceability,wrapped2025_energy,wrapped2025_valence,wrapped2025_acousticness
3061,Only Love Can Hurt Like This (feat. Teddy Swims) - Remix,Paloma Faith,Paloma Faith,Paloma Faith,1,False,1,2022-09-23,2022,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only Love Can Hurt Like This (feat. Teddy Swims) - Remix,Paloma Faith,1,Only Love Can Hurt Like This (feat. Teddy Swims) - Single,GBARL2201949,2022-09-23,2022,2156,31.0,10296798,1307,1725637,58,11726419,125802,3027666,1139840747,11601159321,,5,,,3,62278,,31492,62,,63534,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,On Me,Lil Baby,Lil Baby,Lil Baby,1,False,1,2020-12-04,2020,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On Me,Lil Baby,1,On Me,USUG12004399,2020-12-04,2020,788,54.7,368017246,105732,15129396,67,227182263,1554044,163221,22024839,198936453,37367982,57,178634,372,9,32400,6,141610948,45141,53891709,1728476,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063,On My Grind,OG Eat,OG Eat,OG Eat,1,False,1,2022-11-23,2022,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On My Grind,OG Eat,1,Block Music,QZTB22230138,2022-11-23,2022,1767,34.6,,,,,,,,,,,,,,,,,,,,30698299,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,On My Love,Zara Larsson,Zara Larsson,Zara Larsson,1,False,1,2023-09-12,2023,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On My Love,Zara Larsson,1,On My Love (Sped Up),USSM12306769,2023-09-12,2023,1159,44.1,128024416,20826,60798732,7,14394570,139320,3966,507857,8090936,1176532287,73,129069,77,82,4576277,48,1333245,192,1668042,934544,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,On My Mama,Victoria Mon�,Victoria Mon�,Victoria Mon�,1,True,1,2023-06-16,2023,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On My Mama,Victoria Mon�,1,On My Mama,USRC12204025,2023-06-16,2023,582,63.1,119798692,16874,43909927,65,57621851,673949,52478,14376748,138101105,286698611,55,306628,382,39,8198464,78,17556177,11350,2797592,1507722,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,On My Mind,Diplo,Diplo,Diplo,1,False,1,2019-12-13,2019,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On My Mind,Diplo,1,On My Mind,USZ4V1900134,2019-12-13,2019,3526,22.9,287897439,146593,20526230,60,68649223,853541,175051,126561681,855075576,11842376,74,27171,113,42,165991,21,7837045,6109,,1261710,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,On My Way,Alan Walker,Alan Walker,Alan Walker,1,False,1,2019-03-21,2019,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On My Way,Alan Walker,1,On My Way,NOG841901010,2019-03-21,2019,2119,31.3,670068696,75834,16363220,67,665558958,11599426,1228819,61987054,713445624,350041385,57,23803,,25,534986,17,9236402,13251,,4910579,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,on one tonight,Gunna,Gunna,Gunna,1,False,1,2024-05-10,2024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on one tonight,Gunna,1,One of Wun,USAT22403441,2024-05-10,2024,1986,32.3,28658023,4184,26150391,77,3724826,56851,,,,381728,,1,3,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,On The Floor,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez,1,False,1,2011-01-01,2011,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On The Floor,Jennifer Lopez,1,VTM Kzoom Hits Best Of 2011,USUM71100721,2011-01-01,2011,2768,26.7,456241170,89265,34214641,69,2333347395,9971513,341638,171375947,1446146402,1770256542,70,4150,48,51,1139278,24,,,,243509,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,On The Radar Freestyle,Drake,Drake,Drake,1,False,1,2023-07-26,2023,True,,,,,,,,Drake,3,88.6,95,4,2006,Hip-Hop,Canada,Male,Amen,,,,,,,,,,,,,,,,,,,,,,,,On The Radar Freestyle,Drake,1,On The Radar Freestyle,USLD91749183,2023-07-26,2023,2894,25.9,86155124,34804,13487736,62,17603372,566251,4799,2344363,21751158,465664,22,884,1,1,12802,18,1836178,1081,,260921,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,on the street (with J. Cole),j-hope,"j-hope, J. Cole",j-hope; J. Cole,2,False,2,2023-03-03,2023,True,,,94,0.68,0.82,0.81,0.53,,,,,,,,,,,on the street (with J. Cole),"j-hope, J. Cole",2,2023-03-03,2023,615,2,116599790,22,82,8,0,9,94,B,Minor,0.68,0.81,0.82,0.53,0.0,0.09,0.13,on the street (with J. Cole),j-hope,1,on the street (with J. Cole),USA2P2251898,2023-03-03,2023,3689,22.3,183683364,21804,15669021,63,67664152,3768577,259000,146676533,803916984,124507195,15,7442,12,1,207,16,1256163,322,,317811,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,On Time (with John Legend),John Legend,"John Legend, Metro Boomin",John Legend; Metro Boomin,2,False,1,2022-12-02,2022,,,,80,0.33,0.59,0.51,0.76,,,,,,,,,,,On Time (with John Legend),"John Legend, Metro Boomin",2,2022-12-02,2022,398,0,78139948,2,2,6,0,2,80,F,Minor,0.33,0.51,0.59,0.76,0.0,0.44,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,O.O,NMIXX,NMIXX,NMIXX,1,False,1,2022-02-22,2022,,,,200,0.39,0.77,0.28,0.04,,,,,,,,,,,O.O,NMIXX,1,2022-02-22,2022,290,0,135444283,9,66,10,0,0,200,B,Minor,0.39,0.28,0.77,0.04,0.0,0.06,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,OOOUUU,Young M.A,Young M.A,Young M.A,1,False,1,2016-05-20,2016,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOOUUU,Young M.A,1,OOOUUU,US6YF1600026,2016-05-20,2016,1888,33.4,316267018,68407,10932431,60,515355994,3980712,83370,35643009,286622729,2170348,165,7714,,10,7187,12,144019785,192642,109465969,2698587,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,O Patinho Colorido,Bento e Tot�,Bento e Tot�,Bento e Tot�,1,True,1,2019-11-15,2019,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O Patinho Colorido,Bento e Tot�,1,"Bento e Tot�, Vo",BX7CP1900008,2019-11-15,2019,2396,29.1,11029541,2068,188999,52,1003456602,2729246,42700,2328242,38710313,283,,,,,,,,,,13061,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3076,Open Arms (feat. Travis Scott),SZA,"SZA, Travis Scott",SZA; Travis Scott,2,False,2,2022-12-08,2022,False,,,78,0.67,0.59,0.22,0.76,SZA,19,57.8,48,4,2012,R&B,USA,Female,Saturn,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022-12-08,2022,1420,4,155653938,13,87,17,0,46,78,A,Major,0.67,0.22,0.59,0.76,0.01,0.15,0.16,Open Arms (feat. Travis Scott),SZA,1,SOS,USRC12204602,2022-12-08,2022,1114,45.1,418181065,67858,17377077,76,87097570,675742,79800,21397764,155757311,3034510,14,374,,17,190364,2,4424141,8503,7784284,1272704,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077,Ophelia,The Lumineers,The Lumineers,The Lumineers,1,False,1,2016-02-05,2016,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ophelia,The Lumineers,1,Ophelia,USDMG1673802,2016-02-05,2016,2350,29.4,1274848626,213943,47156566,70,267224710,2081752,49941,30833392,234589315,5412813,86,56784,195,34,41816,39,347987957,153704,,3480225,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078,Opp Stoppa (feat. 21 Savage),YBN Nahmir,YBN Nahmir,YBN Nahmir,1,False,1,2021-01-22,2021,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Stoppa (feat. 21 Savage),YBN Nahmir,1,Opp Stoppa (feat. 21 Savage),USAT22100132,2021-01-22,2021,2603,27.7,246949197,80591,7682255,64,62144315,935278,5645,715700,4922539,101060286,19,4210,,22,419,,4954305,6168,32395833,209692,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,ORANGE SODA,Baby Keem,Baby Keem,Baby Keem,1,False,1,2019-07-16,2019,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORANGE SODA,Baby Keem,1,ORANGE SODA,QM6N21900076,2019-07-16,2019,2745,26.8,676690653,183862,33470385,73,69181584,992247,62163,26055931,203414980,70684,34,9442,3,8,26697,2,12499559,25352,,1211769,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,Orang Yang Salah - Sped Up Version,Luvia band,Luvia band,Luvia band,1,False,1,2023-09-20,2023,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orang Yang Salah - Sped Up Version,Luvia band,1,Orang Yang Salah (Sped Up Version),IDA192303865,2023-09-20,2023,2552,28.0,3900009,239,152396,,2001200,23163,1200000,21126908,529234742,,,,,,,,,,,21387,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,Original som fan,OP,OP,OP,1,False,1,2018-10-30,2018,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Original som fan,OP,1,HIPHOPP Vol. 1,SE5BU1734432,2018-10-30,2018,2466,28.7,37291,93,4955,3,,,9624729,1787230708,12110114842,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix",Ty Dolla $ign,Ty Dolla $ign,Ty Dolla $ign,1,False,1,2014-06-10,2014,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix",Ty Dolla $ign,1,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",USAT21401391,2014-06-10,2014,2197,30.6,949312501,152498,28278237,74,858285365,5419110,8535,11730568,70600246,148190236,30,482,,7,4123,8,568114702,286287,,2633407,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,Orquestra Maldita,TRASHXRL,TRASHXRL,TRASHXRL,1,False,1,2023-06-15,2023,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orquestra Maldita,TRASHXRL,1,Orquestra Maldita,SGW502301764,2023-06-15,2023,773,55.1,119445482,16844,15941203,14,52878314,712327,2337660,235664103,3177714575,,1,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,"O Saki Saki (From ""Batla House"")",Neha Kakkar,Neha Kakkar,Neha Kakkar,1,False,1,2019-07-15,2019,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O Saki Saki (From ""Batla House"")",Neha Kakkar,1,"O Saki Saki (From ""Batla House"")",INS181904064,2019-07-15,2019,897,50.9,144985656,15143,5892217,57,1662729195,8178016,3112998,41878672,462897728,255648659,18,2585,,,,3,,,403099,717736,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085,Os Bico T�o Se Perguntando (Let�,MC PH,MC PH,MC PH,1,True,1,2023-04-07,2023,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Os Bico T�o Se Perguntando (Let�,MC PH,1,Os Bico T�o Se Perguntando (Let�,BXG6R2300280,2023-04-07,2023,3801,21.9,131981248,15020,12049822,65,127960114,714022,27489,2506579,33156781,3350968,8,2,,12,221427,3,229,,,99846,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Otra Noche,Los �ngeles Az,Los �ngeles Az,Los �ngeles Az,1,True,1,2021-11-11,2021,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otra Noche,Los �ngeles Az,1,Otra Noche - Single,MX1722101437,2021-11-11,2021,2659,27.3,238849559,26517,11475144,64,401770615,1536208,1275,1185903,16815994,10816168,12,12312,211,13,369524,5,3690918,2072,,885927,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,Otra vez (feat. J Balvin),Zion & Lennox,Zion & Lennox,Zion & Lennox,1,False,1,2016-09-30,2016,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otra vez (feat. J Balvin),Zion & Lennox,1,Motivan2,USWL11600244,2016-09-30,2016,2345,29.5,912446776,48788,18231793,67,1323533350,3121184,70829,2778349,27776697,268300868,45,54,121,13,15030,5,171888652,33793,,2796246,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088,Otro Atardecer,Bad Bunny,"Bad Bunny, The Mar�",Bad Bunny; The Mar�,2,True,2,2022-05-06,2022,False,,,108,0.78,0.6,0.55,0.59,Bad Bunny,4,84.2,89,0,2016,Reggaeton,Puerto Rico,Male,NUEVAYoL,Otro Atardecer,"Bad Bunny, The Mar�",2,2022-05-06,2022,1681,7,319546754,10,30,13,0,33,108,D,Major,0.78,0.55,0.6,0.59,0.0,0.07,0.04,Otro Atardecer,Bad Bunny,1,Un Verano Sin Ti,QM6MZ2214891,2022-05-06,2022,2126,31.2,426439016,58352,12590067,71,187059915,1140762,63700,33219040,232987490,20261939,15,,2,2,605,3,17983505,2209,,961174,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
